,path,file_name,file_size_Mb,last_access,last_modified,created_on
"20190501-Cell proliferation by nuclei count_N2_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY,"20190501-Cell proliferation by nuclei count_N2_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
"20190508-Cell proliferation by nuclei count_N3_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY,"20190508-Cell proliferation by nuclei count_N3_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
"Cell Proliferation by nuclei count Day 2-5 MCF10a HER2 shC or shY N1,2,3 compiled analysis.xlsx",E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY,"Cell Proliferation by nuclei count Day 2-5 MCF10a HER2 shC or shY N1,2,3 compiled analysis.xlsx",61.8,06 Jun 2019,21 Sep 2020,21 Sep 2020
"Cell Proliferation by nuclei count Day 2-5 MCF10a HER2 shC or shY N1,2,3 compiled graphs.pptx",E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY,"Cell Proliferation by nuclei count Day 2-5 MCF10a HER2 shC or shY N1,2,3 compiled graphs.pptx",177460.189,05 Jun 2019,21 Sep 2020,21 Sep 2020
Cell Proliferation by Nuclei Count detailed protocol with results and insights.docx,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY,Cell Proliferation by Nuclei Count detailed protocol with results and insights.docx,80.945,07 Jun 2019,21 Sep 2020,21 Sep 2020
DAPI_EGFP representative images,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY,DAPI_EGFP representative images,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
20190425 MCF10a HER2 shC or shY DAPI EGFP DAY2-5 complied analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190425-Cell proliferation by nuclei count_N1_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190425 MCF10a HER2 shC or shY DAPI EGFP DAY2-5 complied analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
20190425 MCF10a HER2 shC or shY DAPI EGFP DAY2-5 complied N1.pptx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190425-Cell proliferation by nuclei count_N1_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190425 MCF10a HER2 shC or shY DAPI EGFP DAY2-5 complied N1.pptx,data_not_available,data_not_available,data_not_available,data_not_available
20190425_MCF10a_HER2_shc or shY_DAPI_EGFP_count_N1_DAY2_Rutvi_Evaluation4_analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190425-Cell proliferation by nuclei count_N1_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190425_MCF10a_HER2_shc or shY_DAPI_EGFP_count_N1_DAY2_Rutvi_Evaluation4_analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
20190425_MCF10a_HER2_shC or shY_DAPI_EGFP_count_N1_DAY3_Rutvi_Evaluation4_analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190425-Cell proliferation by nuclei count_N1_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190425_MCF10a_HER2_shC or shY_DAPI_EGFP_count_N1_DAY3_Rutvi_Evaluation4_analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
